  ŠIFRANT   LOOB         ŠIFRANT UPRAVNIH ENOT IN STARIH OBÈIN
  1343                   PO NAROÈILU
  1344                   PRI IZSILJEVANJU
  1345                   V SKUPINI
  135A                   DEJANSKA NEVARNOST ZA ŽIVLJENJE   O
  135B                   UNIÈEN/ZA VSELEJ ZNATNO OSLABLJEN POMEMBEN DEL TELESA/ORGANA   O
  135C                   TRAJNA NEZMOŽNOST ZA VSAKRŠNO DELO   O
  135D                   TRAJNA SKAŽENOST   O
  135E                   TRAJNO HUDO OKVARJENO ZDRAVJE   O
  1351                   ZARADI SPORA, PREPIRA
  1352                   PRI DELU
  1353                   PO NAROÈILU
  1354                   PRI IZSILJEVANJU
  1355                   V SKUPINI
  136A                   S HUDIMI TELESNIMI POŠKODBAMI  O
  136B                   S SMRTNIM IZIDOM   O
  1361                   NAÈRTOVAN PRETEP
  137A                   NEVARNOST HUDE TELESNE POŠKODBE   O
  137B                   NEVARNOST HUDE OKVARE ZDRAVJA   O
  139A                   OPUSTITEV POMOÈI ZAUPANI OSEBI   O
  139B                   OPUSTITEV POMOÈI OSEBI, ZA KATERO JE DOLŽAN SKRBETI   O
  139C                   NEVARNOST ZA ŽIVLJENJE   O
  139D                   NEVARNOST ZA ZDRAVJE   O
  140A                   BREZ NEVARNOSTI ZA STORILCA   O
  140B                   BREZ NEVARNOSTI ZA TRETJO OSEBO   O
  141A                   OMEJITEV PRAVIC ALI SVOBOŠÈIN   O
  141B                   DODELITEV POSEBNE PRAVICE ALI UGODNOSTI   O
  141C                   PROTI POSAMEZNIKU, KI SE ZAVZEMA ZA ENAKOPRAVNOST   O
  141D                   PROTI ORGANIZACIJI, KI SE ZAVZEMA ZA ENAKOPRAVNOST   O
  142A                   FIZIÈNA PRISILA   O
  142B                   PRISILA Z RESNO GROŽNJO   O
  142C                   K STORITVI   O
  142D                   K OPUSTITVI   O
  142E                   K TRPLJENJU   O
  143A                   ZAPRTJE V PROSTOR   O
  143B                   PRIKLENITEV, VEZANJE IPD.   O
  143C                   NA GROZOVIT NAÈIN   O
  143D                   ZA DALJŠE OBDOBJE(VEÈ KOT TEDEN DNI)   O
  144A                   PRISILJENJE ŽRTVE V DOLOÈENO RAVNANJE  O
  144B                   PRISILJENJE TRETJE OSEBE V DOLOÈENO RAVNANJE   O
  144C                   GROŽNJA Z UMOROM   O
  144D                   GROŽNJA S HUDO TELESNO POŠKODBO   O
  1441                   S PRESLEPITVIJO
  145A                   GROŽNJA Z NAPADOM NA TELO   O
  145B                   GROŽNJA Z NAPADOM NA ŽIVLJENJE   O
  146A                   PRIZADETOST TELESNE CELOVITOSTI   O
  146B                   PRIZADETJE DUŠEVNE CELOVITOSTI   O
  147A                   PREISKAVA OSEBE   O
  147B                   PREISKAVA OSEBNIH STVARI   O
  148A                   PRISLUŠKOVANJE   O
  148B                   ZVOÈNO SNEMANJE   O
  148C                   PRENAŠANJE INFORMACIJ TRETJI OSEBI   O
  1481                   V PROSTORU
  1482                   IZVEN PROSTOROV
  149A                   SNEMANJE OSEBE   O
  149B                   SNEMANJE PROSTOROV   O
  149C                   PRENAŠANJE POSNETKA TRETJI OSEBI   O
  150A                   UPORABA TEHNIÈNIH SREDSTEV   O
  150B                   UPORABA KEMIÈNIH SREDSTEV   O
  150C                   PREPREÈITEV PRENOSA SPOROÈILA DO OŠKODOVANCA   O
  150D                   PRENOS SPOROÈILA TRETJI OSEBI   O
  1501                   PRESTREZANJE RAÈUNALNIŠKIH TELEKOMUNIKACIJ
  1502                   PRESTREZANJE TELEFONSKIH/TELEFAKS KOMUNIKACIJ
  1503                   PRESTREZANJE MOBILNIH TELEKOMUNIKACIJ(TELEFON, RADIO)
  1504                   ODPIRANJE TUJE ELEKTRONSKE POŠTE
  1505                   PREUSMERITEV ELEKTRONSKE POŠTE
  1506                   ODPIRANJE KLASIÈNIH PISANJ
  151A                   NA INTERNETU   O
  151B                   NA ELEKTRONSKI  OGLASNI DESKI   O
  151C                   V PISNEM MEDIJU   O
  151D                   NA RADIU   O
  151E                   NA TELEVIZIJI   O
  152A                   NEUPRAVIÈEN PRISTOP   O
  152B                   NOÈE SE ODSTRANITI   O
  154A                   ZBIRANJE V NASPROTJU Z ZAKONOM   O
  154B                   ZBIRANJE BREZ OSEBNE PRIVOLITVE   O
  154C                   POSREDOVANJE V NASPROTJU Z ZAKONOM   O
  154D                   POSREDOVANJE BREZ OSEBNE PRIVOLITVE   O
  1541                   PRI ELEKTRONSKEM TRGOVANJU
  1542                   PRI ELEKTRONSKEM BANÈNIŠTVU
  1543                   S POMOÈJO LAŽNE SPLETNE STRANI NA INTERNETU
  1544                   Z GOVOROM
  1545                   PISNO
  1546                   S POMOÈJO SREDSTEV JAVNEGA OBVEŠÈANJA
  155A                   PREPREÈITEV UPORABE PRAVICE DO PRAVNEGA SREDSTVA O
  155B                   PREPREÈITEV DAJANJA POBUDE SPLOŠNEGA POMENA   O
  1551                   Z LAŽNO IZJAVO, S PREVARO
  1552                   Z GROŽNJO
  1553                   Z ZAVRŠBO
  156A                   PREPREÈITEV   O
  156B                   OVIRANJE   O
  1561                   S SILO
  1562                   Z RESNO GROŽNJO
  1563                   S PRESLEPITVIJO
  157A                   PREPREÈITEV TISKANJA   O
  157B                   PREPREÈITEV PRODAJE   O
  157C                   PREPREÈITEV RAZŠIRJANJA   O
  157D                   PREPREÈITEV ODDAJANJA   O
  1571                   V ZVEZI S TISKOVINAMI
  1572                   V ZVEZI Z RADIJSKIM PROGRAMOM
  1573                   V ZVEZI Z TELEVIZIJSKIM PROGRAMOM
  1574                   V ZVEZI Z INTERNETOM
  158A                   S SVOJIM IMENOM   O
  158B                   Z IMENOM KOGA DRUGEGA   O
  158C                   OBJAVA   O
  158D                   PRIKAZ   O
  158E                   IZVEDBA   O
  158F                   PRENOS   O
  158G                   SKAZITEV   O
  158H                   OKRNITEV   O
  158I                   DRUG NEUPRAVIÈEN POSEG   O
  1581                   NA PODROÈJU LITERATURE
  1582                   NA PODROÈJU VIDEA
  1583                   NA PODROÈJU AVDIA
  1584                   NA PODROÈJU PROGRAMSKE OPREME
  159A                   REPRODUCIRANJE   O
  159B                   DISTRIBUCIJA   O
  159C                   DAJANJE V NAJEM   O
  159D                   POSREDOVANJE JAVNOSTI NA PODROÈJU LITERATURE   O
  159E                   NEUPRAVIÈENA UPORABA   O
  1591                   VIDEO PIRATSTVO
  1592                   PONAREJANJE PROGRAMSKE OPREME
  1593                   PREDELAVA PROGRAMA
  1594                   PRODAJA RAÈUNALNIKA Z NELICENÈNO PROGRAMSKO OPREMO
  1595                   TRDO RAÈUNALNIŠKO PIRATSTVO
  1596                   MEHKO RAÈUNALNIŠKO PIRATSTVO
  1597                   PIRATSTVO ELEKTRONSKIH OGLASNIH DESK
  1598                   PIRATSTVO NA INTERNETU
  1599                   AVDIO PIRATSTVO
  160A                   JAVNO ODDAJANJE(RADIO, TV)   O
  160B                   RAZMNOŽEVANJE   O
  160C                   DAJANJE V PROMET   O
  1601                   NEPOSREDNA IZVEDBA
  1602                   POSNETEK IZ IZVEDBE
  1603                   REPRODUCIRANJE   O
  1604                   OBJAVLJANJE   O
  1605                   RAZŠIRJANJE   O
  1606                   DAJANJE V NAJEM   O
  161A                   Z NEVPISOM V VOLILNI IMENIK O
  161B                   S ÈRTANJEM IZ VOLILNEGA IMENIKA  O
  1611                   NA LOKALNIH VOLITVAH
  1612                   NA DRŽAVNIH VOLITVAH
  162A                   S SILO  O
  162B                   Z RESNO GROŽNJO  O
  162C                   S PODKUPOVANJEM  O
  162D                   S PRESLEPITVIJO   O
  162E                   DRUG NEDOVOLJEN NAÈIN   O
  1621                   PRI GLASOVANJU
  1622                   NA LOKALNIH VOLITVAH
  1623                   NA DRŽAVNIH VOLITVAH
  163A                   NAMESTO DRUGEGA   O
  163B                   VEÈKRATNO   O
  1631                   PRI GLASOVANJU
  1632                   NA LOKALNIH VOLITVAH
  1633                   NA DRŽAVNIH VOLITVAH
  164A                   ZAHTEVANJE ODGOVORNOSTI   O
  164B                   ZAHTEVANJE POJASNILA   O
  1641                   PRI GLASOVANJU
  1642                   NA LOKALNIH VOLITVAH
  1643                   NA DRŽAVNIH VOLITVAH
  165A                   UNIÈENJE   O
  165B                   POŠKODOVANJE   O
  165C                   PRIKRITJE   O
  165D                   PONAREDITEV   O
  1651                   PRI GLASOVANJU
  1652                   NA LOKALNIH VOLITVAH
  1653                   NA DRŽAVNIH VOLITVAH
  166A                   DODAJANJE GLASOVNIC/GLASOV   O
  166B                   ODVZEMANJE GLASOVNIC/GLASOV   O
  166C                   OBJAVA LAŽNEGA REZULTATA   O
  1661                   PRI GLASOVANJU
  1662                   NA LOKALNIH VOLITVAH
  1663                   NA DRŽAVNIH VOLITVAH
  167A                   PRI GLASOVANJU  O
  167B                   NA LOKALNIH VOLITVAH   O
  167C                   NA DRŽAVNIH VOLITVAH   O
  168A                   ZAHTEVANJE NAGRADE, DARILA...  O
  168B                   SPREJETJE NAGRADE, DARILA...  O
  1681                   PRI GLASOVANJU
  1682                   NA LOKALNIH VOLITVAH
  1683                   NA DRŽAVNIH VOLITVAH
  169U                   OBJAVA NA INTERNETU
  169V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1690                   S TISKOM
  1691                   PREKO TELEVIZIJE
  1692                   NA JAVNEM SHODU
  1693                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  1694                   VRNITEV RAZŽALITVE
  1695                   ZOPER DRŽAVNI ORGAN
  1696                   ZOPER URADNO OSEBO
  1697                   ZOPER VOJAŠKO OSEBO
  1698                   ZOPER POLICISTA
  1699                   PREKO RADIA
  170U                   OBJAVA NA INTERNETU
  170V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1700                   S TISKOM
  1701                   PREKO RADIA
  1702                   PREKO TELEVIZIJE
  1703                   NA JAVNEM SHODU
  1704                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  1705                   ZOPER DRŽAVNI ORGAN
  1706                   ZOPER URADNO OSEBO
  1707                   ZOPER VOJAŠKO OSEBO
  1708                   ZOPER POLICISTA
  171U                   OBJAVA NA INTERNETU
  171V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1710                   S TISKOM
  1711                   PREKO RADIA
  1712                   PREKO TELEVIZIJE
  1713                   NA JAVNEM SHODU
  1714                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  1715                   ZOPER DRŽAVNI ORGAN
  1716                   ZOPER URADNO OSEBO
  1717                   ZOPER VOJAŠKO OSEBO
  1718                   ZOPER POLICISTA
  172U                   OBJAVA NA INTERNETU
  172V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1720                   S TISKOM
  1721                   PREKO RADIA
  1722                   PREKO TELEVIZIJE
  1723                   NA JAVNEM SHODU
  1724                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  1725                   ZOPER DRŽAVNI ORGAN
  1726                   ZOPER URADNO OSEBO
  1727                   ZOPER VOJAŠKO OSEBO
  1728                   ZOPER POLICISTA
  173A                   NEPOSREDNO OÈITANJE   O
  173B                   OÈITANJE PREKO TRETJE OSEBE   O
  173U                   OBJAVA NA INTERNETU
  173V                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1730                   S TISKOM
  1731                   PREKO RADIA
  1732                   PREKO TELEVIZIJE
  1733                   NA JAVNEM SHODU
  1734                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  1735                   ZOPER DRŽAVNI ORGAN
  1736                   ZOPER URADNO OSEBO
  1737                   ZOPER VOJAŠKO OSEBO
  1738                   ZOPER POLICISTA
  174A                   ZOPER REPUBLIKO  O
  174B                   ZOPER PREDSEDNIKA REPUBLIKE  O
  174C                   ZOPER SIMBOLE DRŽAVE   O
  1741                   OBJAVA NA INTERNETU
  1742                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1743                   S TISKOM
  1744                   PREKO RADIA
  1745                   PREKO TELEVIZIJE
  1746                   NA JAVNEM SHODU
  1747                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  175A                   ZOPER DRŽAVO   O
  175B                   ZOPER ŠEFA DRŽAVE   O
  175C                   ZOPER DIPLOMATSKEGA PREDSTAVNIKA DRŽAVE   O
  175D                   ZOPER SIMBOLE DRŽAVE   O
  175E                   ZOPER MEDNARODNO ORGANIZACIJO   O
  1751                   OBJAVA NA INTERNETU
  1752                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1753                   S TISKOM
  1754                   PREKO RADIA
  1755                   PREKO TELEVIZIJE
  1756                   NA JAVNEM SHODU
  1757                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  176A                   PROTI SLOVENSKEMU NARODU   O
  176B                   PROTI ITALIJANSKI NARODNI SKUPNOSTI  O
  176C                   PROTI MADŽARSKI NARODNI SKUPNOSTI  O
  1761                   OBJAVA NA INTERNETU
  1762                   OBJAVA NA ELEKTRONSKI OGLASNI DESKI
  1763                   S TISKOM
  1764                   PREKO RADIA
  1765                   PREKO TELEVIZIJE
  1766                   NA JAVNEM SHODU
  1767                   Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
  180A                   UPORABA SILE   O
  180B                   GROŽNJA Z UPORABO SILE   O
  180C                   GROŽNJA S ŠKODO NA ÈASTI IN DOBREMU IMENU   O
  180D                   GROŽNJA Z MATERIALNO ŠKODO   O
  180E                   GROZOVIT NAÈIN   O
  180F                   POSEBNO PONIŽEVALEN NAÈIN   O
  180G                   ZAPORNIKA V ÈASU PRESTAJANJA KAZNI   O
  180H                   VEÈ STORILCEV/ENA ŽRTEV(SKUPINSKO)   O
  180I                   VEÈ STORILCEV/VEÈ ŽRTEV(MNOŽIÈNO)   O
  1801                   EN STORILEC/VEÈ ŽRTEV/RAZLIÈEN ÈAS(SERIJSKO)
  181A                   UPORABA SILE   O
  181B                   GROŽNJA Z UPORABO SILE   O
  181C                   GROŽNJA S ŠKODO NA ÈASTI IN DOBREMU IMENU   O
  181D                   GROŽNJA Z MATERIALNO ŠKODO   O
  181E                   GROZOVIT NAÈIN   O
  181F                   POSEBNO PONIŽEVALEN NAÈIN   O
  181G                   ZAPORNIKA V ÈASU PRESTAJANJA KAZNI   O
  181H                   VEÈ STORILCEV/ENA ŽRTEV(SKUPINSKO)   O
  181I                   VEÈ STORILCEV/VEÈ ŽRTEV(MNOŽIÈNO)   O
  1811                   EN STORILEC/VEÈ ŽRTEV/RAZLIÈEN ÈAS(SERIJSKO)
  1812                   ŽRTEV MORA AKTIVNO RAVNATI
  1813                   ŽRTEV MORA PASIVNO RAVNATI
  182A                   SPOLNO OBÈEVANJE   O
  182B                   DRUGO SPOLNO DEJANJE   O
  182C                   DUŠEVNA BOLEZEN ŽRTVE   O
  182D                   ZAÈASNO DUŠEVNO MOTENA ŽRTEV   O
  182E                   HUJŠA DUŠEVNA ZAOSTALOST ŽRTVE   O
  182F                   DRUGA FIZIÈNA/PSIHIÈNA NEZMOŽNOST OBRAMBE   O
  1821                   ŽRTEV MORA AKTIVNO RAVNATI
  1822                   ŽRTEV MORA PASIVNO RAVNATI
  183A                   SPOLNO OBÈEVANJE   O
  183B                   DRUGO SPOLNO DEJANJE   O
  183C                   DUŠEVNA BOLEZEN ŽRTVE   O
  183D                   ZAÈASNO DUŠEVNO MOTENA ŽRTEV   O
  183E                   HUJŠA DUŠEVNA ZAOSTALOST ŽRTVE   O
  183F                   DRUGA FIZIÈNA/PSIHIÈNA NEZMOŽNOST OBRAMBE   O
  183G                   UPORABA SILE   O
  183H                   GROŽNJA Z UPORABO SILE   O
  1831                   ŽRTEV MORA AKTIVNO RAVNATI
  1832                   ŽRTEV MORA PASIVNO RAVNATI
  184A                   SPOLNO OBÈEVANJE   O
  184B                   DRUGO SPOLNO DEJANJE   O
  184C                   ŽRTEV MORA AKTIVNO RAVNATI   O
  184D                   ŽRTEV MORA PASIVNO RAVNATI   O
  185A                   SODELOVANJE   O
  185B                   PRISILJENJE   O
  185C                   GROŽNJA   O
  185D                   PRESLEPITEV   O
  185E                   V HUDODELSKI ZDRUŽBI   O
  1850                   PONUDBA PREKO INTERNETA
  1851                   PONUDBA PREKO ELEKTRONSKIH OGLASNIH DESK
  1852                   PONUDBA PREKO TISKA
  1853                   PONUDBA PREKO TELEFONA(VROÈE LINIJE)
  1854                   POULIÈNA PROSTITUCIJA
  1855                   PROSTITUCIJA NA DOMU STRANK
  1856                   PROSTITUCIJA V LOKALIH, HOTELIH...
  1857                   PROSTITUCIJA V STANOVANJIH
  1858                   PLAÈILO PROSTITUTKI
  1859                   PLAÈILO ZVODNIKU
  186A                   PRIDOBIVANJE OSEB ZA PROSTITUIRANJE   O
  186B                   SODELOVANJE PRI PRIDOBIVANJU OSEB ZA PROSTITUIRANJE   O
  186C                   Z UPORABO SILE   O
  186D                   Z GROŽNJO   O
  186E                   S PRESLEPITVIJO   O
  1860                   NOVAÈENJE PREKO INTERNETA
  1861                   NOVAÈENJE PREKO ELEKTRONSKIH OGLASNIH DESK
  1862                   NOVAÈENJE PREKO TISKA
  1863                   NOVAÈENJE PREKO PROSTITUTK
  1864                   NOVAÈENJE PREKO ZVODNIKOV
  1865                   NOVAÈENJE PREKO AGENCIJ
  1866                   ZA POULIÈNO PROSTITUCIJO
  1867                   ZA PROSTITUCIJO NA DOMU STRANK
  1868                   ZA PROSTITUCIJO V LOKALIH, HOTELIH...
  1869                   ZA PROSTITUCIJO V STANOVANJIH
  187A                   PRODAJA   O
  187B                   PRIKAZOVANJE   O
  187C                   JAVNO RAZSTAVLJANJE   O
  187D                   PORNOGRAFSKA PREDSTAVA   O
  187E                   ZLORABA ZA IZDELAVO SLIK   O
  187F                   ZLORABA ZA IZDELAVO AVDIO/VIDEO ZAPISOV   O
  187G                   ZLORABA ZA PORNOGRAFSKO PREDSTAVO   O
  1871                   NA INTERNETU
  1872                   NA ELEKTRONSKI OGLASNI DESKI
  1873                   PROIZVODNJA   O
  1874                   RAZŠIRJANJE   O
  1875                   UVOZ/IZVOZ   O
  1876                   POSEDOVANJE   O
  188A                   NEUPOŠTEVANJE PREDPISA/ODREDBE ZA PREGLED   O
  188B                   NEUPOŠTEVANJE PREDPISA/ODREDBE ZA RAZKUŽENJE   O
  188C                   NEUPOŠTEVANJE PREDPISA/ODREDBE O KARANTENI   O
  188D                   NEUPOŠTEVANJE DRUGIH UKREPOV   O
  189A                   POMOÈ OPUSTIL ZDRAVNIK   O
  189B                   POMOÈ OPUSTIL DRUG ZDRAVSTVENI DELAVEC   O
  189C                   POMOÈ OPUŠÈENA PACIENTU   O
  189D                   POMOÈ OPUŠÈENA DRUGEMU(POŠKODOVANCU...)   O
  190A                   MALOMARNOST ZDRAVNIKA   O
  190B                   MALOMARNOST DRUGEGA ZDRAVSTVENEGA DELAVCA   O
  191A                   ODVZEM DELA TELESA ŽIVI OSEBI   O
  191B                   ODVZEM DELA TELESA MRTVI OSEBI   O
  191C                   VSADITEV DELA TELESA   O
  191D                   TRGOVANJE S ÈLOVEŠKIMI ORGANI   O
  191E                   SODELOVANJE PRI TRGOVANJU S ÈLOVEŠKIMI ORGANI   O
  192A                   DEJANJE LEKARNARJA   O
  192B                   DEJANJE DRUGE OSEBE   O
  192C                   NAPAKA PRI PRIPRAVI ZDRAVILA   O
  192D                   IZDAJA NAPAÈNEGA ZDRAVILA   O
  192E                   DRUGO RAVNANJE V NASPROTJU S PRAVILI ZNANOSTI/STROKE   O
  193A                   PROIZVODNJA   O
  193B                   PRODAJA   O
  193C                   DRUG NAÈIN DAJANJA V PROMET   O
  1931                   ŠKODLJIVA ZDRAVILA
  1932                   DRUGA ŠKODLJIVA SREDSTVA ZA ZDRAVLJENJE
  1933                   OKUŽENA KRI
  1934                   OKUŽENO TKIVO
  194A                   PRI PROIZVODNJI BLAGA   O
  194B                   PRI PROMETU BLAGA   O
  194C                   PRI OPRAVLJANJU STORITEV   O
  194D                   NEVARNOST ZA ŽIVLJENJE   O
  194E                   NEVARNOST ZA ZDRAVJE   O
  1941                   ŽIVILA
  1942                   SREDSTVA ZA OSEBNO NEGO
  1943                   OTROŠKE IGRAÈE
  1944                   DRUGI IZDELKI MNOŽIÈNE POTROŠNJE
  195A                   OPUSTITEV PREGLEDA   O
  195B                   NEVESTEN PREGLED   O
  195C                   ŽIVINE   O
  195D                   MESA   O
  196A                   PROIZVODNJA MAMIL   O
  196B                   PREDELAVA MAMIL   O
  196C                   PRODAJA MAMIL   O
  196D                   PONUJANJE MAMIL NAPRODAJ   O
  196E                   NAKUP MAMIL ZARADI PRODAJE   O
  196F                   HRAMBA MAMIL   O
  196G                   PRENOS MAMIL   O
  196H                   POSREDOVANJE PRI NAKUPU ALI PRODAJI MAMIL   O
  196I                   ZDRUŽBA VEÈ OSEB   O
  196J                   ORGANIZIRANJE MREŽE PREKUPÈEVALCEV   O
  196K                   IZDELAVA OPREME ZA PROIZVODNJO MAMIL   O
  196L                   IZDELAVA SUBSTANC ZA PROIZVODNJO MAMIL   O
  196M                   NABAVLJANJE OPREME ZA PROIZVODNJO MAMIL   O
  196N                   NABAVLJANJE SUBSTANC ZA IZDELAVO MAMIL   O
  196O                   POSEST OPREME ZA PROIZVODNJO MAMIL   O
  196P                   POSEST SUBSTANC ZA PROIZVODNJO MAMIL   O
  196R                   DAJANJE V UPORABO OPREME ZA PROIZVODNJO MAMIL   O
  196S                   DAJANJE V UPORABO SUBSTANC ZA PROIZVODNJO MAMIL   O
  197A                   NAPELJEVANJE K UŽITKU   O
  197B                   DAJANJE MAMILA ZA UŽIVANJE   O
  197C                   DAJANJE PROSTOROV ZA UŽIVANJE NA RAZPOLAGO   O
  197D                   MLADOLETNIKU   O
  197E                   VEÈ OSEBAM   O
  199A                   PODTAKNITEV OTROKA   O
  199B                   ZAMENJAVA OTROKA   O
  200A                   ODVZEM RODITELJU   O
  200B                   ODVZEM SKRBNIKU   O
  200C                   ODVZEM POSVOJITELJU   O
  200D                   ODVZEM IZ ZAVODA   O
  200E                   ODVZEM OSEBI, KATERI JE ZAUPANA   O
  200F                   ONEMOGOÈANJE ODLOÈBE O DODELITVI   O
  2001                   ODVZEM PO RAZVEZI ZAKONA
  2002                   ODVZEM PRED RAZVEZO ZAKONA
  2003                   ODVZEM V ÈASU IZVENZAKONSKE SKUPNOSTI
  201A                   FIZIÈNO ZANEMARJANJE(LAKOTA, NEHIGIENA...)   O
  201B                   VZGOJNO ZANEMARJANJE   O
  201C                   ZDRAVSTVENO ZANEMARJANJE   O
  201D                   FIZIÈNO NASILJE(SUROVO RAVNANJE)   O
  201E                   PSIHIÈNO NASILJE(TRPINÈENJE)   O
  201F                   SILJENJE K PRETIRANEMU DELU   O
  201G                   SILJENJE K DELU, KI NI PRIMERNO ZA STAROSTI   O
  201H                   NAVAJANJE K ŠKODLJIVIM RAVNANJEM   O
  203A                   OGROŽANJE PREŽIVLJANJA   O
  203B                   IZMIKANJE PLAÈEVANJU   O
  205A                   ODREKANJE PRAVICE   O
  205B                   OMEJITEV PRAVICE  O
  205C                   GLEDE SKLENITVE DELOVNEGA RAZMERJA   O
  205D                   GLEDE PRENEHANJA DELOVNEGA RAZMERJA   O
  205E                   GLEDE OSEBNEGA DOHODKA/NADOMESTILA   O
  205F                   GLEDE DELOVNEGA ÈASA   O
  205G                   GLEDE ODMORA/POÈITKA   O
  205H                   GLEDE DOPUSTA   O
  205I                   GLEDE DRUGE ODSOTNOSTI Z DELA   O
  205J                   GLEDE VARSTVA ŽENSK   O
  205K                   GLEDE VARSTVA MLADINE   O
  205L                   GLEDE VARSTVA INVALIDOV   O
  205M                   GLEDE NADURNEGA IN NOÈNEGA DELA   O
  206A                   ODREKANJE PRAVICE   O
  206B                   OMEJITEV PRAVICE   O
  207A                   PREPREÈEVANJE/ONEMOGOÈANJE IZVRŠEVANJA PRAVIC   O
  207B                   ZLORABLJANJE PRAVIC   O
  207C                   OVIRANJE URESNIÈEVANJA PRAVIC   O
  2071                   KRŠITEV PRAVIC DO SODELOVANJA PRI UPRAVLJANJU
  2072                   KRŠITEV SINDIKALNIH PRAVIC
  208A                   UNIÈENJE VARNOSTNE NAPRAVE   O
  208B                   POŠKODOVANJE VARNOSTNE NAPRAVE   O
  208C                   ODSTRANITEV VARNOSTNE NAPRAVE   O
  208D                   VARNOSTNA NAPRAVA NI POSTAVLJENA   O
  208E                   VARNOSTNA NAPRAVA NI BREZHIBNA   O
  208F                   VARNOSTNA NAPRAVA NE DELUJE   O
  208G                   NESPOŠTOVANJE PREDPISOV/PRAVIL O VARNOSTNIH UKREPIH   O
  209A                   ODREKANJE PRAVICE   O
  209B                   OMEJITEV PRAVICE   O
  209C                   V ZASEBNEM SEKTORJU   O
  209D                   V JAVNEM SEKTORJU   O
  2091                   NEPLAÈEVANJE PRISPEVKOV
  2092                   PLAÈEVANJE ZMANJŠANIH PRISPEVKOV
  2093                   NEIZPLAÈEVANJE SREDSTEV UPRAVIÈENCU
  210A                   SIMULIRANJE BOLEZNI/NEZMOŽNOSTI ZA DELO   O
  210B                   POVZROÈITEV BOLEZNI/NEZMOŽNOSTI ZA DELO   O
  210C                   V ZASEBNEM SEKTORJU   O
  210D                   V JAVNEM SEKTORJU   O
  211X                   NARAVNE DOBRINE   SUROVINE
  2111                   ŽEPARSTVO   IZ OBLAÈIL
  2112                   ŽEPARSTVO   IZ ROÈNE TORBICE, AKTOVKE, KOVÈKA
  2113                   IZ PRTLJAGE
  2114                   Z VLOMOM
  2115                   Z VDOROM
  2116                   Z DRUGAÈNIM PREMAGOVANJEM OVIR
  212A                   Z VLOMOM  O
  212B                   Z VDOROM   O
  212C                   Z DRUGAÈNIM PREMAGOVANJEM OVIR   O
  212D                   OSUMLJENI JE IMEL NEVARNO ORODJE ZA NAPAD   O
  212E                   OSUMLJENI JE IMEL OROŽJE ZA NAPAD   O
  212F                   OB POŽARU   O
  212G                   OB POVODNJI   O
  212H                   OB DRUGI NARAVNI NESREÈI   O
  212I                   Z IZRABO NESREÈE/NEZGODE DRUGEGA   O
  212J                   Z IZRABO NEMOÈI DRUGEGA   O
  212K                   STVAR POSEBNEGA KULTURNEGA POMENA   O
  212L                   STVAR POSEBNEGA ZGODOVINSKEGA POMENA   O
  212M                   STVAR VELIKE VREDNOSTI   O
  212N                   ŽEPARSTVO   IZ OBLAÈIL
  212O                   ŽEPARSTVO   IZ ROÈNE TORBICE, AKTOVKE, KOVÈKA
  212P                   IZ PRTLJAGE
  212R                   SKOZI VRATA
  212S                   SKOZI OKNO
  212T                   SKOZI STREHO
  212U                   KLJUB AKTIVIRANJU ALARMNE NAPRAVE
  212V                   Z ONESPOSOBITVIJO ALARMNE NAPRAVE
  212X                   NARAVNE DOBRINE   SUROVINE
  212Z                   S SILO TELESA(BREZ PRIPOMOÈKOV)
  2120                   Z LOMLJENJEM KLJUÈAVNICE
  2121                   Z LOMLJENJEM KLJUÈAVNICE S POSEBNIMI PRIPOMOÈKI
  2122                   Z ODKLEPANJEM KLJUÈAVNICE S POSEBNIMI PRIPOMOÈKI
  2123                   V PROSTOSTOJEÈO BLAGAJNO
  2124                   V ZIDNO BLAGAJNO/TREZOR
  2125                   V OGNJEVARNO KOVINSKO OMARO
  2126                   V MIZNI PREDAL
  2127                   V OMARO
  2128                   V BANÈNI AVTOMAT
  2129                   V AVTOMOBIL
  213A                   UPORABA SILE   O
  213B                   GROŽNJA Z UPORABO SILE ZOPER TELO   O
  213C                   GROŽNJA Z UPORABO SILE ZOPER ŽIVLJENJE  O
  2131                   ROP PRI PREVOZU GOTOVINE
  2132                   ROP PRI PRENOSU GOTOVINE
  214A                   UPORABA SILE   O
