  ŠIFRANT   LOOB         ŠIFRANT UPRAVNIH ENOT IN STARIH OBÈIN
  OL                     ORGAN LOKALNE SKUPNOSTI(KRAJEVNA SKUPNOST,OBÈINA,POKRAJINA)
  OS                     OSTALI PROSTORI V BLOKU (KLET, KOTLOVNICA, GARAŽNI BOKS..)
  PÈ                     POÈITNIŠKA HIŠA (VIKEND), BUNGALOV, BIVALNA PRIKOLICA
  PŠ                     POŠTA
  PA                     PARKIRIŠÈE
  PB                     PODJETJE S PODROÈJA OBRTI ALI OSEBNIH STORITEV
  PD                     PREHODNI DOM ZA TUJCE, BEGUNSKI CENTER
  PF                     PODJETJE S PODROÈJA FINANC IN DRUGIH POSLOVNIH STORITEV
  PH                     PARKIRNA HIŠA
  PI                     POLITIÈNA STRANKA
  PK                     POKOPALIŠÈE
  PL                     POKLICNA ALI SREDNJA ŠOLA
  PM                     PARLAMENT
  PN                     PLOVILO
  PO                     POLJE, SADOVJAK, VINOGRAD, ARBORETUM
  PP                     POÈITNIŠKI ALI PLANINSKI DOM
  PR                     PRISTANIŠÈE, MARINA (RAZEN UPRAVNIH, GOST.,TRGO.,SKLAD.PROSTOROV)
  PS                     PRODAJNI KIOSK, STOJNICA
  PT                     PROTOKOLARNO OBMOÈJE
  PV                     POSLOVNO ZDRUŽENJE ALI SKLAD
  PZ                     PODJETJE S PODROÈJA PROMETA ALI ZVEZ
  RU                     RUDNIK
  SA                     SAMOSTAN
  SE                     SVETOVALNA, PROJEKRANTSKA ALI REVIZIJSKA ORGANIZACIJA
  SG                     SKLADIŠÈE GRADBENEGA MATERIALA
  SK                     SKLADIŠÈE KMETIJSKIH PRIDELKOV IN KRMIL
  SM                     SMETIŠÈE
  SN                     STANOVANJSKO KOMUNALNO PODJETJE
  SO                     SINDIKALNA ORGANIZ.,DELODAJALSKO ALI STROK.ZDRUŽENJE(ZBORNICA)
  SP                     SAMOPOSTREŽNA TRGOVINA
  SR                     SAMOSTOJNI RAZVOJNO RAZISKOVALNI INŠTITUT
  ST                     STANOVANJSKA HIŠA ZUNAJ NASELJA
  SV                     STANOVANJSKA HIŠA V NASELJU
  TG                     TRGOVINSKO SKLADIŠÈE
  TH                     TOVARNIŠKA HALA
  TK                     TABOR, KAMP
  TO                     TOŽILSTVO, SODIŠÈE
  TP                     TRGOVSKO PODJETJE
  TR                     TRAVNIK, PAŠNIK, GRMIÈEVJE, NEPORAŠÈEN SVET
  TS                     TRŽNICA, SEJEMSKI PROSTOR
  UE                     UPRAVNA ENOTA, IZPOSTAVA UPRAVNE ENOTE
  UP                     PROSTORI POLICIJE
  UV                     VOZILO POLICIJE
  VÈ                     STANOVANJE V BLOKU
  VA                     VISOKA STROKOVNA ŠOLA, AKADEMIJA, FAKULTETA
  VE                     VELEBLAGOVNICA
  VI                     VZGOJNOVARSTVENA,IZOBRAŽEVALNA,KULTURNA ALI TELESNOKULTURNA ORGANIZACI
  VJ                     VOJAŠKO ALI POLICIJSKO SKLADIŠÈE
  VL                     VLAK
  VM                     VLADNA SLUŽBA,MINISTRSTVO,ORGAN V SEST.MINISTRSTVA(TUDI PROST.POLICIJE
  VO                     VODNA ALI OBVODNA POVRŠINA (OBREŽJE REKE, JEZERA, MORJA)
  VP                     VOJAŠKO ALI POLICIJSKO OBMOÈJE (VOJAŠNICA, VADBIŠÈE, STRELIŠÈE IPD.)
  VR                     VRTEC
  VS                     VISOKA STROKOVNA ŠOLA, AKADEMIJA, FAKULTETA
  VZ                     VZGOJNO POPRAVNI DOM
  XX                     OSTALO
  ZA                     ZAPOR
  ZD                     ZDRAVSTVENI DOM, SAMOSTOJNA AMBULANTA
  ZE                     ZASEBNOVARNOSTNA ALI DETEKTIVSKA AGENCIJA
  ZL                     ZLATARNA
  ZP                     ZABAVIŠÈNI PARK, CIRKUS, ŽIVALSKI VRT
  ZS                     ZDRAVSTVENA ALI SOCIALNOVARSTVENA ORGANIZACIJA
  ZV                     ZAVAROVALNICA

  ŠIFRANT   KDSP         UPORABLJENO SREDSTVO PREDMET KD
  001                    ALEATORNI PREDMETI
  002                    ALKOHOLNA PIJAÈA
  003                    AMFETAMIN
  004                    ANESTETIKI
  005                    APARATI
  006                    AVDIOVIZUALNI APARATI IN OPREMA
  007                    AVTOBUS
  008                    AVTOMATSKA PIŠTOLA
  009                    AVTOMATSKA PUŠKA
  010                    AVTOMATSKO OROŽJE
  011                    AVTOMOBILSKA SVEÈKA
  012                    AVTORADIO
  013                    BANÈNA GARANCIJA
  014                    BARVE
  015                    BELA RIBA
  016                    BELGIJEC
  017                    BENCIN
  018                    BENZODIAZEPINI
  019                    BETA KLJUÈ
  020                    BIANCO LISTINE
  021                    BILANCA
  022                    BILTEN
  023                    BIOLOŠKI STRUP
  024                    BIOLOŠKO OROŽJE
  025                    BLAGAJNIŠKI ZAPIS
  026                    BLAGOVNA ZNAMKA
  027                    BOJNA SREDSTVA IN OPREMA
  028                    BON
  029                    BREZALKOHOLNA PIJAÈA
  030                    BRZOJAVKA
  031                    CD PLAYER
  032                    CERTIFIKAT
  033                    CIGARETNI OGOREK
  034                    ÈASOPIS
  035                    ÈEKI
  036                    ÈISTILNE NAPRAVE
  037                    ÈLANEK
  038                    ÈLOVEŠKI ORGANI IN TKIVO
  039                    ÈLOVEŠKO TELO (SKRIVANJE MAMILA)
  040                    ÈOLN
  041                    ÈOLN Z MOTORJEM
  042                    DARILO
  043                    DELI OROŽJA
  044                    DELNICE
  045                    DELOVNI KOMBINEZON
  046                    DELOVNI NALOG
  047                    DELOVNI STROJI
  048                    DENAR
  049                    DENAR DOMAÈI
  050                    DENAR TUJI
  051                    DIKTAFON
  052                    DIVJE ŽIVALI
  053                    DOKUMENTI
  054                    DOKUMENTI IN JAVNE LISTINE
  055                    DOMAÈE ŽIVALI
  056                    DOVOLILNICA ZA PROST IZHOD
  057                    DRAGI KAMNI
  058                    DUŠILEC
  059                    ECSTASY
  060                    EKSTRAKTI IN TINKTURE KANABISA
  061                    ELEKTRIÈNI VOD
  062                    ELEKTRIÈNO ORODJE IN APARATI
  063                    ELEKTRIKA
  064                    ELEKTRONSKA POŠTA
  065                    ELEKTROŠOKER
  066                    ELEKTROTEHNIÈNI MATERIAL
  067                    ENERGIJA
  068                    EROTIÈNI PREDMETI
  069                    FAKTURE
  070                    FARMACEVTSKA SREDSTVA OPREMA IN PRIPOMOÈKI
  071                    FIRMA
  072                    FORMULARJI
  073                    FOTOAPARAT
  074                    FOTOKOPIRNI STROJ
  075                    FRANCOSKI KLJUÈ
  076                    GABLJIVE IN KUŽNE SNOVI
  077                    GARANCIJSKI LIST
  078                    GLASBENI INŠTRUMENTI
  079                    GLASBENO DELO
  080                    GLASOVALNA SKRINJICA
  081                    GLAVNIK
  082                    GLISER
  083                    GOSPODINJSKI APARATI STROJI PREDMETI
  084                    GRADBENI DNEVNIK
  085                    GRADBENI MATERIAL
  086                    GUMIJASTI ÈOLN
  087                    HELIKOPTER
  088                    HEROIN
  089                    HIPNOZA
  090                    HLAÈNI PAS
  091                    HLADNO OROŽJE
  092                    HRANA
  093                    IGRAÈE
  094                    IGRALNIŠKI ŽETONI
  095                    INDUSTRIJSKE RASTLINE
  096                    INTERNET
  097                    INTRANET
  098                    IZKAZNICA
  099                    IZVIJAÈ
  100                    JADRALNA DESKA
  101                    JADRNICA
  102                    JADRNICA S POMOŽNIM MOTORJEM
  103                    JAHTA
  104                    JAVNE LISTINE
  105                    JEDKE SNOVI
  106                    JEDRSKO OROŽJE
  107                    JEKLENI KLJUÈ
  108                    KANABIS RASTLINA (BILKA)
  109                    KANABIS RASTLINA (MARIHUANA)
  110                    KANALIZACIJA
  111                    KASETOFON
  112                    KATALOG
  113                    KATASTRSKI DOHODEK
  114                    KEMIÈNE SNOVI IN PROIZVODI
  115                    KEMIÈNO OROŽJE
  116                    KIPARSKO DELO
  117                    KISLINE
  118                    KLADIVO
  119                    KLASIÈNE LAMELE
