   KDKO                   KD - KRIMINALISTIČNA OZNAČBA
   212R                   SKOZI VRATA
   212S                   SKOZI OKNO
   212T                   SKOZI STREHO
   212U                   KLJUB AKTIVIRANJU ALARMNE NAPRAVE
   212V                   Z ONESPOSOBITVIJO ALARMNE NAPRAVE
   212Z                   S SILO TELESA(BREZ PRIPOMOČKOV)
   2120                   Z LOMLJENJEM KLJUČAVNICE
   2121                   Z LOMLJENJEM KLJUČAVNICE S POSEBNIMI PRIPOMOČKI
   2122                   Z ODKLEPANJEM KLJUČAVNICE S POSEBNIMI PRIPOMOČKI
   2123                   V PROSTOSTOJEČO BLAGAJNO
   2124                   V ZIDNO BLAGAJNO/TREZOR
   2125                   V OGNJEVARNO KOVINSKO OMARO
   2126                   V MIZNI PREDAL
   2127                   V OMARO
   2128                   V BANČNI AVTOMAT
   2129                   V AVTOMOBIL
   213A                   UPORABA SILE - O
   213B                   GROŽNJA Z UPORABO SILE ZOPER TELO - O
   213C                   GROŽNJA Z UPORABO SILE ZOPER ŽIVLJENJE- O
   2131                   ROP PRI PREVOZU GOTOVINE
   2132                   ROP PRI PRENOSU GOTOVINE
   214A                   UPORABA SILE - O
   214B                   GROŽNJA Z UPORABO SILE ZOPER TELO - O
   214C                   GROŽNJA Z UPORABO SILE ZOPER ŽIVLJENJE - O
   215A                   ZAUPANA STVAR - O
   215B                   NAJDENA STVAR - O
   215C                   NAKLJUČNO PRIDOBLJENA STVAR - O
   215D                   STVAR POSEBNEGA KULTURNEGA/ZGODOVINSKEGA POMENA - O
   215E                   STVAR VELIKE VREDNOSTI - O
   217A                   KLASIČNA - O
   217B                   POSLOVNA - O
   217C                   Z VREDNOSTNIMI PAPIRJI - O
   217D                   ZAVAROVALNIŠKA - O
   217E                   KREDITNA - O
   217F                   PRI IGRAH NA SREČO - O
   217G                   NEPLAČILO(BLAGA, STORITVE, DOLGA...) - O
   217H                   PRI IZPOSOJI VOZILA - O
   217I                   HOTELSKA - O
   217J                   VERIŽNA(PIRAMIDALNA) - O
   217K                   ZLORABA PLAČILNE/KREDITNE KARTICE - O
   217L                   ZLORABA PLAČILNE/KREDITNE KARTICE NA INTERNETU - O
   217M                   LAŽNO TRGOVANJE NA INTERNETU(SPOOFING) - O
   217N                   S PREDELAVO RAČ. PROGRAMSKE OPREME - O
   217O                   S PREDELAVO RAČ. STROJNE OPREME - O
   217P                   Z LAŽNIMI OSEBNIMI PODATKI - O
   218A                   UPORABA SILE(FIZIČNO, OROŽJE, EKSPL. SREDSTVA...) - O
   218B                   GROŽNJA Z UBOJEM - O
   218C                   GROŽNJA S TELESNIMI POŠKODBAMI - O
   218D                   GROŽNJA Z OŠKODOVANJEM PREMOŽENJA - O
   218E                   GROŽNJA S PRIZADETJEM DRUGIH(ŽENE, OTROK...) - O
   218F                   GROŽNJA S KONTAMINACIJO(HRANE, IZDELKOV...) - O
   2181                   PRI IZTERJAVI DEJANSKEGA DOLGA
   2182                   PRI IZTERJAVI NAMIŠLJENEGA DOLGA
   2183                   POBIRANJE VARŠČINE(MAFIJSKI TIP)
   219A                   IZRABA SLABEGA PREMOŽENJSKEGA STANJA - O
   219B                   IZRABA HUDIH STANOVANJSKIH RAZMER - O
   219C                   IZRABA STISKE - O
   219D                   IZRABA NEIZKUŠENOSTI ALI LAHKOMISELNOSTI - O
   2191                   ODERUŠKA POSOJILA
   220A                   V PODJETNIŠTVU - O
   220B                   V JAVNEM SEKTORJU -O
   220C                   PRI OSEBNIH POSLIH/POGODBAH -O
   220D                   V ODVETNIŠKI DEJAVNOSTI -O
   220E                   V NOTARSKI DEJAVNOSTI -O
   220F                   PRI SKRBNIŠTVU(NA PODLAGI ODLOČBE) -O
   220G                   PRI ZASTOPANJU PREMOŽENJSKE KORISTI - O
   220H                   PRI OSKRBOVANJU PREMOŽENJA - O
   221A                   PRIDOBITEV Z NAKUPOM - O
   221B                   DRUGAČNA PRIDOBITEV(DARILO) - O
   221C                   S SPREJEMOM V ZASTAVO - O
   221D                   S SKRIVANJEM - O
   221E                   Z RAZPEČEVANJEM - O
   221F                   STVAR VELIKE VREDNOSTI - O
   221G                   STVARI POSEBNEGA KULTURNEGA/ZGODOVINSKEGA POMENA -O
   221H                   NARAVNA ZNAMENITOST -O
   222A                   UVOZ/VNOS -O
   222B                   IZVOZ/IZNOS - O
   222C                   STVAR POSEBNEGA KULTURNEGA/ZGODOVINSKEGA POMENA - O
   222D                   NARAVNA ZNAMENITOST - O
   222E                   OGROŽENA RASTLINSKA VRSTA - O
   222F                   OGROŽENA ŽIVALSKA VRSTA - O
   223A                   POŠKODOVANJE STVARI - O
   223B                   UNIČENJE STVARI - O
   223C                   STVAR POSEBNEGA KULTURNEGA/ZGODOVINSKEGA POMENA - O
   223D                   NARAVNA ZNAMENITOST - O
   223E                   ZAVAROVANO NARAVNO BOGASTVO - O
   223F                   ZAVAROVANA STVAR, KI JE JAVNA DOBRINA - O
   224A                   POŠKODOVANJE STVARI - O
   224B                   UNIČENJE STVARI - O
   2241                   S POŽIGOM
   2242                   S FIZIČNO SILO
   2243                   GRAFITI
   2244                   HULIGANSTVO ULIČNIH TOLP
   2245                   HULIGANSTVO NAVIJAČEV
   225A                   SPREMEMBA - O
   225B                   IZBRIS - O
   225C                   POŠKODOVANJE - O
   225D                   UNIČENJE - O
   225E                   KOPIRANJE - O
   225F                   UPORABA - O
   2251                   ŠIFRIRANJE
   2252                   OKUŽBA Z VIRUSOM
   2253                   OKUŽBA Z OMREŽNIM VIRUSOM
   2254                   BLOKADA PROCESORJA, PODATKOVNIH MEDIJEV(SPAMMING)
   226A                   OBJEKT V ZASEBNI LASTI - O
   226B                   OBJEKT V JAVNI LASTI - O
   2261                   SERIJSKI POŽIG
   227A                   POŠKODOVANJE NAPRAV, INSTALACIJ...- O
   227B                   ODSTRANITEV NAPRAV, INSTALACIJ... - O
   228A                   V TUJE STANOVANJE- O
   228B                   V DRUGE TUJE PROSTORE - O
   229A                   ZASTAVNA PRAVICA - O
   229B                   PRAVICA DO UŽITKA - O
   229C                   MED PRISILNO IZVRŠBO - O
   229D                   Z ODTUJITVIJO(PRENOS V POSEST TRETJEGA) - O
   229E                   Z VZETJEM(VRNITEV V SVOJO POSEST) - O
   229F                   Z UNIČENJEM - O
   229G                   S POŠKODOVANJEM - O
   229H                   S SKRIVANJEM - O
   23AA                   S PRIKAZOVANJEM, DA BODO OBVEZNOSTI IZPOLNJENE
   23AB                   S PRIKAZOVANJEM, DA OBVEZNOSTI NE BODO IZPOLNJENE
   23AC                   Z DELNO NEIZPOLNITVIJO OBVEZNOSTI
   23AD                   S CELOTNO NEIZPOLNITVIJO OBVEZNOSTI
   23BA                   Z ORGANIZIRANJEM
   23BB                   Z SODELOVANJEM PRI ORGANIZIRANJU
   23BC                   S POMOČJO PRI ORGANIZIRANJU
   23BD                   ZARADI LASTNE KORISTI
   23BE                   ZARADI KORISTI DRUGE OSEBE
   231A                   PRI PROIZVODNJI BLAGA - O
   231B                   PRI PROMETU BLAGA - O
   231C                   PRI OPRAVLJANJU STORITEV - O
   231D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   231E                   PRI DRUGEM  FINANČNEM POSLOVANJU - O
   231F                   OMEJEVANJE V SVOBODNEM PROMETU BLAGA - O
   231G                   OMEJEVANJE V SVOBODNEM PROMETU STORITEV - O
   231H                   USTVARJENA VELIKA PREMOŽENJSKA KORIST ZASE - O
   231I                   USTVARJENA VELIKA PREMOŽENJSKA ŠKODA DRUGEMU - O
   232A                   PRI PROIZVODNJI BLAGA - O
   232B                   PRI PROMETU BLAGA - O
   232C                   PRI OPRAVLJANJU STORITEV - O
   232D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   232E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   232F                   V ŠKODO ZASEBNEGA SEKTORJA - O
   232G                   V ŠKODO JAVNEGA SEKTORJA - O
   232H                   NAVIDEZNO POSLABŠANJE PREMOŽENJSKEGA STANJA - O
   232I                   DEJANSKO POSLABŠANJE PREMOŽENJSKEGA STANJA - O
   232J                   Z NAVIDEZNO PRODAJO - O
   232K                   Z BREZPLAČNIM ODSTOPOM(PODARITVIJO) - O
   232L                   Z ODSTOPOM ZA IZREDNO NIZKO CENO - O
   232M                   Z UNIČENJEM - O
   232N                   S SKLENITVIJO LAŽNE POGODBE O DELU - O
   232O                   S PRIZNANJEM NERESNIČNE TERJATVE - O
   233A                   PRI PROIZVODNJI BLAGA - O
   233B                   PRI PROMETU BLAGA - O
   233C                   PRI OPRAVLJANJU STORITEV - O
   233D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   233E                   PRI DRUGEM  FINANČNEM POSLOVANJU - O
   233F                   V ŠKODO ZASEBNEGA SEKTORJA - O
   233G                   V ŠKODO JAVNEGA SEKTORJA - O
   233H                   Z NESMOTRNIM TROŠENJEM SREDSTEV - O
   233I                   Z ODTUJITVIJO ZA IZREDNO NIZKO CENO- O
   233J                   S ČEZMERNIM ZADOLŽEVANJEM -O
   233K                   S PREVZEMANJEM NESORAZMERNIH OBVEZNOSTI - O
   233L                   Z OPUŠČANJEM PRAVOČASNIH TERJATEV - O
   234A                   PRI PROIZVODNJI BLAGA - O
   234B                   PRI PROMETU BLAGA - O
   234C                   PRI OPRAVLJANJU STORITEV - O
   234D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   234E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   234F                   V ŠKODO ZASEBNEGA SEKTORJA - O
   234G                   V ŠKODO JAVNEGA SEKTORJA - O
   234H                   Z IZPLAČILOM DOLGA - O
   234I                   S PRIZNANJEM NERESNIČNE TERJATVE -O
   234J                   S SESTAVO LAŽNE POGODBE -O
   235A                   PRI PROIZVODNJI BLAGA -O
   235B                   PRI PROMETU BLAGA -O
   235C                   PRI OPRAVLJANJU STORITEV - O
   235D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   235E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   235F                   V ŠKODO ZASEBNEGA SEKTORJA - O
   235G                   V ŠKODO JAVNEGA SEKTORJA - O
   235H                   ZA PRIDOBITEV POSOJILA - O
   235I                   ZA PRIDOBITEV INVESTICIJSKIH SREDSTEV - O
   235J                   ZA PRIDOBITEV SUBVENCIJE - O
   235K                   ZA PRIDOBITEV DRUGE UGODNOSTI - O
   235L                   S PREDLOŽITVIJO NERESNIČNIH PODATKOV - O
   235M                   S PREDLOŽITVIJO NEPOPOLNIH PODATKOV - O
   236A                   PRI PROIZVODNJI BLAGA - O
   236B                   PRI PROMETU BLAGA - O
   236C                   PRI OPRAVLJANJU STORITEV - O
   236D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   236E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   236F                   OŠKODOVANEC KUPUJE - O
   236G                   OŠKODOVANEC PRODAJA - O
   236H                   LAŽEN PRIKAZ PREMOŽENJSKEGA STANJA - O
   236I                   LAŽNI PODATKI O DOBIČKU - O
   236J                   LAŽNI PODATKI O IZGUBI - O
   237A                   PRI PROIZVODNJI BLAGA - O
   237B                   PRI PROMETU BLAGA - O
   237C                   PRI OPRAVLJANJU STORITEV - O
   237D                   NEUSTREZNA(LAŽNA) DEKLARACIJA NA IZDELKU-O
   237E                   BREZ DEKLARACIJE NA IZDELKU -O
   237F                   MANJŠA TEŽA - O
   237G                   SLABŠA KAKOVOST - O
   237H                   LAŽNA NAVEDBA DOBAVNEGA ROKA - O
   237I                   LAŽNA NAVEDBA O NAČINU IZPOLNITVE OBVEZNOSTI- O
   237J                   LAŽNO ZNIŽANJE CENE BLAGA - O
   237K                   LAŽNA OBJAVA O RAZPRODAJI - O
   237L                   LAŽNA OBJAVA O ZVIŠANJU CEN - O
   238A                   PRI PROIZVODNJI BLAGA - O
   238B                   PRI PROMETU BLAGA - O
   238C                   PRI OPRAVLJANJU STORITEV - O
   238D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   238E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   238F                   UPORABA FIRME - O
   238G                   UPORABA ŽIGA - O
   238H                   UPORABA VARSTVENE ZNAMKE - O
   238I                   UPORABA POSEBNE OZNAČBE BLAGA -O
   238J                   IZKORIŠČANJE VZORCA - O
   238K                   IZKORIŠČANJE MODELA - O
   239A                   PRI PROIZVODNJI BLAGA - O
   239B                   PRI PROMETU BLAGA - O
   239C                   PRI OPRAVLJANJU STORITEV - O
   239D                   PRIJAVLJEN IZUM - O
   239E                   ZAVAROVAN IZUM(PATENT) - O
   240A                   PRI PROIZVODNJI BLAGA - O
   240B                   PRI PROMETU BLAGA - O
   240C                   PRI OPRAVLJANJU STORITEV - O
   240D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   240E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   240F                   VPIS LAŽNIH PODATKOV - O
   240G                   NEVPIS POMEMBNIH PODATKOV - O
   240H                   POTRDITEV LAŽNE VSEBINE S PODPISOM - O
   240I                   OMOGOČANJE SESTAVE LISTINE Z LAŽNO VSEBINO - O
   240J                   UPORABA LISTINE Z LAŽNO VSEBINO - O
   240K                   UNIČENJE/SKRITJE/POŠKODOVANJE PRAVE LISTINE - O
   241A                   PRI PROIZVODNJI BLAGA - O
   241B                   PRI PROMETU BLAGA - O
   241C                   PRI OPRAVLJANJU STORITEV - O
   241D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   241E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   241F                   SPOROČANJE PODATKOV - O
   241G                   IZROČANJE PODATKOV - O
   241H                   ZBIRANJE PODATKOV Z NAMENOM IZROČITVE - O
   241I                   POSEBNO POMEMBNI PODATKI - O
   241J                   IZROČANJE PODATKOV ZA IZNOS V TUJINO - O
   242A                   PRI PROIZVODNJI BLAGA - O
   242B                   PRI PROMETU BLAGA - O
   242C                   PRI OPRAVLJANJU STORITEV - O
   242D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   242E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   242F                   VNOS PODATKOV ALI PROGRAMOV - O
   242G                   SPREMEMBA PODATKOV ALI PROGRAMOV - O
   242H                   SKRITJE/IZBRIS PODATKOV ALI PROGRAMOV - O
   242I                   UNIČENJE PODATKOV ALI PROGRAMOV - O
   242U                   ŠIFRIRANJE PODATKOV ALI PROGRAMOV
   242V                   VDOR BREZ POSEBNIH POSLEDIC
   2420                   IZRABA PROCESORSKE MOČI
   2421                   ZLORABA TELEKOMUNIKACIJ
   2422                   INSTALACIJA VOHUNSKEGA PROGRAMA(SNIFFER)
   2423                   OMOGOČANJE DALJINSKEGA PREVZEMA KONTROLE
   2424                   KRAJA UPORABNIŠKIH IMEN, GESEL
   2425                   OMOGOČANJE NEDOVOLJENEGA PRISTOPA DRUGIM
   2426                   VDOR SKOZI "STRANSKA VRATA"(BIVŠI PROGRAMERJI...)
   2427                   VDOR V OMREŽJE/STREŽNIK
   2428                   VDOR V DELOVNO POSTAJO
   2429                   VDOR PREKO INTERNETA
   243A                   PRI PROIZVODNJI BLAGA - O
   243B                   PRI PROMETU BLAGA - O
   243C                   PRI OPRAVLJANJU STORITEV - O
   243D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   243E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   243F                   DOSTOP DO INFORMACIJ OMOGOČEN Z DELOM - O
   243G                   DOSTOP DO INFORMACIJ OMOGOČEN S POLOŽAJEM - O
   243H                   SPOROČANJE NEPOKLICANIM OSEBAM - O
   243I                   UPORABA ZA LASTNO KORIST - O
   244A                   PRI PROIZVODNJI BLAGA - O
   244B                   PRI PROMETU BLAGA - O
   244C                   PRI OPRAVLJANJU STORITEV - O
   244D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   244E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   244F                   PRIDOBITEV PREMOŽENJSKE KORISTI - O
   244G                   POVZROČITEV PREMOŽENJSKE ŠKODE - O
   244H                   AKTIVNO RAVNANJE(IZRABA POLOŽAJA, PRAVIC...) - O
   244I                   PASIVNO RAVNANJE(NE OPRAVI SVOJE DOLŽNOSTI) - O
   245A                   PRI PROIZVODNJI BLAGA - O
   245B                   PRI PROMETU BLAGA - O
   245C                   PRI OPRAVLJANJU STORITEV - O
   245D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   245E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   246A                   PRI PROIZVODNJI BLAGA - O
   246B                   PRI PROMETU BLAGA - O
   246C                   PRI OPRAVLJANJU STORITEV - O
   246D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   246E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   247A                   PRI PROIZVODNJI BLAGA - O
   247B                   PRI PROMETU BLAGA - O
   247C                   PRI OPRAVLJANJU STORITEV - O
   247D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   247E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   247F                   ZAHTEVA NAGRADO, DARILO... - O
   247G                   SPREJME NAGRADO, DARILO... - O
   247H                   OŠKODOVANEC NE PRIDOBI MOŽNEGA DOBIČKA - O
   247I                   OŠKODOVANEC PLAČA VEČ KOT BI SICER - O
   248A                   PRI PROIZVODNJI BLAGA - O
   248B                   PRI PROMETU BLAGA - O
   248C                   PRI OPRAVLJANJU STORITEV - O
   248D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   248E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   248F                   DAJANJE NAGRADE, DARILA... - O
   248G                   POSKUS DAJANJA NAGRADE, DARILA... - O
   248H                   OBLJUBA NAGRADE, DARILA... - O
   248I                   OŠKODOVANEC NE PRIDOBI MOŽNEGA DOBIČKA - O
   248J                   OŠKODOVANEC PLAČA VEČ KOT BI SICER - O
   249A                   IZDELAVA PONAREJENEGA DENARJA - O
   249B                   PREDRUGAČENJE PRAVEGA DENARJA - O
   249C                   SPRAVLJANJE V OBTOK, UPORABA - O
   249D                   PRIDOBIVANJE Z NAMENOM DAJANJA V OBTOK, UPORABE - O
   2491                   TISKANJE
   2492                   KOVANJE, VLIVANJE
   2493                   FOTOKOPIRANJE
   2494                   SKENIRANJE, RAČUNALNIŠKA OBDELAVA
   2495                   SPREMEMBA NOMINALNE VREDNOSTI(DODAJANJE ŠTEVILK)
   250A                   IZDELAVA PONAREDKOV- O
   250B                   PREDRUGAČENJE PRAVIH VREDNOTIC - O
   250C                   SPRAVLJANJE V OBTOK, UPORABA - O
   250D                   PRIDOBIVANJE Z NAMENOM DAJANJA V OBTOK, UPORABE - O
   250E                   ODSTRANITEV OZNAKE O ŽE IZVEDENI UPORABI - O
   250F                   PONOVNA UPORABA ŽE UPORABLJENE VREDNOTICE - O
   250G                   TISKANJE - O
   250H                   FOTOKOPIRANJE- O
   250I                   SKENIRANJE, RAČUNALNIŠKA OBDELAVA - O
   250J                   SPREMEMBA NOMINALNE VREDNOSTI(DODAJANJE ŠTEVILK) - O
   251A                   IZDELAVA - O
   251B                   PRODAJA - O
   251C                   PRIDOBIVANJE - O
   251D                   DAJANJE V UPORABO - O
   251E                   PRIPOMOČKI ZA PONAREJANJE DENARJA - O
   251F                   PRIPOMOČKI ZA PONAREJANJE VREDNOTIC, VRED. PAPIRJEV - O
   252A                   PRI PROIZVODNJI BLAGA - O
   252B                   PRI PROMETU BLAGA - O
   252C                   PRI OPRAVLJANJU STORITEV - O
   252D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   252E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   252F                   DENARNI ZNESKI - O
   252G                   PREMOŽENJE VELIKE VREDNOSTI - O
   252H                   IZ TRGOVINE Z MAMILI - O
   252I                   IZ IZSILJEVANJ - O
   252J                   IZ TRGOVINE Z OROŽJEM - O
   252K                   IZ GOSPODARSKIH DELIKTOV - O
   252L                   IZ DRUGIH DELIKTOV - O
   2521                   IZVOR IZ KRIMINALNE DEJAVNOSTI V SLOVENIJI
   2522                   IZVOR IZ KRIMINALNE DEJAVNOSTI V TUJINI
   253A                   IZDAJA ČEKOV KOMITENTU, ČEPRAV NIMA KRITJA - O
   253B                   UPORABA ČEKA - O
   253C                   UPORABA PLAČILNE(BANČNE) KARTICE - O
   253D                   DVIG GOTOVINE NA BANČNEM AVTOMATU - O
   253E                   UPORABA KREDITNE KARTICE - O
   254A                   PRI PROIZVODNJI BLAGA - O
   254B                   PRI PROMETU BLAGA - O
   254C                   PRI OPRAVLJANJU STORITEV - O
   254D                   PRI BANČNEM FINANČNEM POSLOVANJU - O
   254E                   PRI DRUGEM FINANČNEM POSLOVANJU - O
   254F                   OBVEZNOSTI PRAVNIH OSEB - O
   254G                   OBVEZNOSTI FIZIČNIH OSEB - O
   254H                   PROMETNEGA DAVKA - O
   254I                   TROŠARINE - O
   254J                   DAVKA NA DODANO VREDNOST - O
   254K                   DAVKA IZ DOBIČKA - O
   254L                   DOHODNINE - O
   2541                   CARINSKIH DAJATEV
   2542                   DRUGE DAVŠČINE IN TAKSE
   255A                   ČEZ CARINSKO KONTROLO(MEJNA ALI NOTRANJA CARINA) - O
   255B                   MIMO CARINSKE KONTROLE(MEJNE ALI NOTRANJE CARINE) - O
   255C                   UKVARJANJE S TIHOTAPSTVOM(TRAJNA DEJAVNOST) - O
   255D                   ENKRATNO TIHOTAPSTVO(ENKRATEN PRENOS) - O
   255E                   PRIKRITJE BLAGA ZA DRUGIM BLAGOM - O
   255F                   NE PRIJAVI BLAGA(NI POSEBNEGA PRIKRIVANJA) - O
   255G                   Z LAŽNO DEKLARACIJO BLAGA - O
   255H                   Z NAVIDEZNIM TRANZITOM - O
   255I                   V SKUPINI - O
   255J                   OBOROŽEN - O
   255K                   Z UPORABO SILE - O
   255L                   Z UPORABO GROŽNJE - O
   2551                   S POMOČJO URADNE OSEBE
   256A                   IZDELAVA PONAREJENE LISTINE - O
   256B                   PREDRUGAČENJE PRAVE LISTINE - O
   256C                   UPORABA PONAREJENE LISTINE - O
   256D                   UPORABA PREDRUGAČENE PRAVE LISTINE - O
   2561                   V ZVEZI S POSLOVNO GOLJUFIJO
   2562                   TISKANJE
   2563                   FOTOKOPIRANJE
   2564                   SKENIRANJE, RAČUNALNIŠKA OBDELAVA
   259A                   IZDAJA LAŽNEGA ZDRAVNIŠKEGA SPRIČEVALA - O
   259B                   IZDAJA LAŽNEGA VETERINARSKEGA SPRIČEVALA - O
   259C                   UPORABA LAŽNEGA ZDRAVNIŠKEGA SPRIČEVALA - O
   259D                   UPORABA LAŽNEGA VETERINARSKEGA SPRIČEVALA - O
   260A                   IZDELAVA PONAREJENEGA ZNAMENJA - O
   260B                   PREDRUGAČENJE PRAVEGA ZNAMENJA - O
   260C                   UPORABA PONAREJENEGA ZNAMENJA - O
   260D                   UPORABA PREDRUGAČENEGA PRAVEGA ZNAMENJA - O
   260E                   PONAREDITEV MER - O
   260F                   PONAREDITEV UTEŽI - O
   260G                   UPORABA PONAREJENE MERE - O
   260H                   UPORABA PONAREJENE UTEŽI - O
   260I                   IZDELAVA PRIPOMOČKOV ZA PONAREJANJE - O
   260J                   PRIDOBITEV PRIPOMOČKOV ZA PONAREJANJE - O
   260K                   PRODAJA PRIPOMOČKOV ZA PONAREJANJE - O
   260L                   DAJANJE V UPORABO PRIPOMOČKOV ZA PONAREJANJE - O
   261A                   PRIDOBITEV NEMATERIALNE KORISTI ZASE - O
   261B                   PRIDOBITEV NEMATERIALNE KORISTI ZA DRUGEGA - O
   261C                   PRIZADEJANJE ŠKODE DRUGEMU - O
   261D                   PRIDOBITEV MATERIALNE KORISTI ZASE - O
   261E                   PRIDOBITEV MATERIALNE KORISTI ZA DRUGEGA - O
   261F                   Z IZRABO URADNEGA POLOŽAJA - O
   261G                   S PRESTOPITVIJO MEJE URADNIH PRAVIC - O
   261H                   Z NEOPRAVO DOLŽNOSTI - O
   261I                   POVZROČENA VEČJA ŠKODA - O
   261J                   HUDO PREKRŠENE PRAVICE DRUGEGA - O
   262A                   S KRŠITVIJO ZAKONOV/PREDPISOV - O
   262B                   Z OPUSTITVIJO NADZORSTVA - O
   262C                   Z OČITNO NEVESTNIM RAVNANJEM - O
   262D                   HUJŠE KRŠENE PRAVICE DRUGEGA - O
   262E                   ŠKODA NA JAVNI DOBRINI - O
   262F                   PREMOŽENJSKA ŠKODA - O
   265A                   VPIS LAŽNEGA PODATKA - O
   265B                   NEVPIS POMEMBNEGA PODATKA - O
   265C                   POTRDITEV LAŽNE VSEBINE - O
   265D                   OMOGOČITEV SESTAVE LAŽNE VSEBINE - O
   265E                   UPORABA LISTINE... Z LAŽNO VSEBINO - O
   265F                   UNIČENJE URADNE LISTINE... - O
   265G                   SKRITJE URADNE LISTINE... - O
   265H                   POŠKODOVANJE URADNE LISTINE... - O
   265I                   DRUGAČNA POVZROČITEV NERABNOSTI LISTINE... - O
   266A                   SPOROČITEV PODATKOV - O
   266B                   IZROČITEV PODATKOV - O
   266C                   DRUGAČNO OMOGOČANJE DOSTOPA DO PODATKOV - O
   266D                   ZBIRANJE PODATKOV Z NAMENOM IZROČITVE - O
   266E                   PRIDOBITEV PODATKOV - O
   266F                   JAVNA OBJAVA PODATKOV - O
   266G                   IZ KORISTOLJUBJA - O
   266H                   Z NAMENOM OBJAVE - O
   266I                   ZA UPORABO V TUJINI - O
   266J                   POSLEDICE SO DEJANSKO NASTALE - O
   266K                   POSLEDICE BI LAHKO NASTALE - O
   267A                   TERJANJE DARILA/KORISTI - O
   267B                   SPREJETJE DARILA/KORISTI - O
   267C                   SPREJETJE OBLJUBE DARILA/KORISTI - O
   267D                   ZA IZVEDBO NEDOVOLJENEGA DEJANJA - O
   267E                   ZA NEIZVEDBO PREDPISANEGA DEJANJA - O
   267F                   ZA IZVEDBO DEJANJA, KI GA SICER MORA OPRAVITI - O
   267G                   ZA NEIZVEDBO DEJANJA, KI GA SICER NE SME OPRAVITI - O
   267H                   PRED IZVEDBO/NEIZVEDBO DEJANJA - O
   267I                   PO IZVEDBI/NEIZVEDBI DEJANJA - O
   268A                   DAJANJE DARILA/KORISTI - O
   268B                   POSKUS DAJANJA DARILA/KORISTI - O
   268C                   OBLJUBA DARILA/KORISTI - O
   268D                   POSREDOVANJE PRI PODKUPOVANJU - O
   268E                   ZA IZVEDBO NEDOVOLJENEGA DEJANJA - O
   268F                   ZA NEIZVEDBO PREDPISANEGA DEJANJA - O
   268G                   ZA IZVEDBO DEJANJA, KI GA SICER MORA OPRAVITI - O
   268H                   ZA NEIZVEDBO DEJANJA, KI GA SICER NE SME OPRAVITI - O
   269A                   IZKORIŠČANJE URADNEGA POLOŽAJA - O
   269B                   IZKORIŠČANJE DRUŽABNEGA POLOŽAJA/VPLIVA - O
   269C                   ZA IZVEDBO NEDOVOLJENEGA DEJANJA - O
   269D                   ZA NEIZVEDBO PREDPISANEGA DEJANJA - O
   270A                   GRDO RAVNANJE - O
   270B                   ŽALITEV - O
   270C                   POVZROČITEV LAHKE TELESNE POŠKODBE - O
   270D                   PRIZADETJE ČLOVEŠKEGA DOSTOJANSTVA - O
   271A                   UPORABA SILE - O
   271B                   UPORABA GROŽNJE - O
   271C                   UPORABA DRUGEGA NEDOVOLJENEGA SREDSTVA/NAČINA - O
   271D                   UPORABA HUDEGA NASILJA - O
   271E                   HUDE POSLEDICE ZA OBDOLŽENCA - O
   2711                   PRETEPANJE
   2712                   PSIHIČNA SILA
   2713                   ZAPRTJE V PROSTOR
   2714                   VKLENITEV
   2715                   VEZANJE
   272A                   PRI HIŠNI PREISKAVI - O
   272B                   PRI OSEBNI PREISKAVI - O
   272C                   OB IZVRŠBI V SODNEM/UPRAVNEM POSTOPKU - O
   282A                   SPOROČITEV PODATKOV - O
