   KDSP                   KD - UPORABLJENO SREDSTVO - PREDMET KD
   196                    NEPREMOŽENJSKA KORIST
   197                    NEVARNE SNOVI
   198                    NEVARNI ODPADKI
   199                    NI PREDMETA
   200                    NOGAVICE
   201                    NOŽ
   202                    NOŽ METULJČEK
   203                    NOŽ NA VZMET
   204                    NUKLEARNI STROJI
   205                    OBLAČILA
   206                    OBRAČUNSKI LISTI
   207                    OBUTEV
   208                    OBVEZNICE
   209                    OFFSET OPREMA
   210                    OGOREK
   211                    OKSIDIRAJOČE SNOVI
   212                    OLJE
   213                    OMAMNA SREDSTVA
   214                    OPIJ
   215                    OPOROKA
   216                    OPTIKA IN FOTOGRAFSKI PRIPOMOČKI
   217                    ORGANSKI PEROKSIDI
   218                    ORIGINAL KLJUČ
   219                    ORODJE
   220                    ORODJE IN PRIBOR
   221                    OROŽJE
   222                    OROŽJE S TETIVO
   223                    OSEBNI AVTOMOBIL
   224                    OSEBNI DNEVNIK
   225                    OSNOVNA SREDSTVA
   226                    OSTALE PREPOVEDANE DROGE - NEUPORABA V MEDICINI
   227                    OSTALE PREPOVEDANE DROGE - UPORABA V MEDICINI
   228                    PAS
   229                    PAST
   230                    PEČAT
   231                    PERUTNINA
   232                    PETROLEJ
   233                    PIJAČA
   234                    PISEMSKE POŠILJKE
   235                    PISMO
   236                    PIŠTOLA
   237                    PIŠTOLA Z DUŠILCEM
   238                    PITNA VODA
   239                    PLAČILNE KARTICE
   240                    PLAKAT
   241                    PLASTIČNA ZATEGA
   242                    PLEMENITE KOVINE
   243                    PLINOVOD
   244                    PLINSKO OROŽJE IN SREDSTVA
   245                    PLOVILA
   246                    PODMORSKI KABEL
   247                    POGODBE
   248                    POHIŠTVO
   249                    POLAVTOMATSKA PUŠKA
   250                    POLJŠČINE
   251                    POLOŽNICA
   252                    POMIČNI KLJUČ
   253                    PONAREJEN KLJUČ
   254                    PONAREJENE LISTINE
   255                    PONAREJENE LISTINE IN DOKUMENTI
   256                    PONAREJENI DOKUMENTI
   257                    PORNOGRAFSKO GRADIVO
   258                    POSLOVNA BILANCA
   259                    POSLOVNE LISTINE
   260                    POŠILJKA
   261                    POŠTNA VREDNOTNICA (ZNAMKA)
   262                    POŠTNE POŠILJKE
   263                    PREDELANO OROŽJE
   264                    PREDHODNE SESTAVINE - PREKURZORJI
   265                    PREDMETI DOMAČE OBRTI
   266                    PREDMETI IZ GUME
   267                    PREDMETI IZ KOVINE
   268                    PREDMETI IZ LESA
   269                    PREDMETI IZ PAPIRJA
   270                    PREDMETI IZ PLASTIKE
   271                    PREDMETI IZ STEKLA
   272                    PREDMETI POLNJENI Z EKSPLOZIVNIMI SNOVMI
   273                    PREDMETI ZA DETEKCIJO
   274                    PREMIČNINE
   275                    PREPARAT
   276                    PREPOVEDANE DROGE
   277                    PREVOZNA SREDSTVA
   278                    PRIBOR IN OPREMA
   279                    PRIKOLICA
   280                    PRIPOMOČKI ZA UŽIVANJE DROG
   281                    PRIREJEN SKRITI PROSTOR
   282                    PROGRAMSKA OPREMA
   283                    PROJEKTNI DOKUMENTI
   284                    PROJEKTOR
   285                    PROMETNO DOVOLJENJE
   286                    PROMETNO SREDSTVO
   287                    PROSPEKT
   288                    PRTLJAGA
   289                    PUŠKA
   290                    PUŠKA Z DUŠILCEM
   291                    RAČUNALNIŠKA OPREMA IN SREDSTVA
   292                    RAČUNALNIŠKI PROGRAM
   293                    RAČUNALNIŠKO OMREŽJE
   294                    RADIJSKA ODDAJA
   295                    RADIJSKE ZVEZE
   296                    RADIO
   297                    RADIOAKTIVNE SNOVI
   298                    RADIOKASETOFON
   299                    RADIOTELEGRAFSKE NAPRAVE
   300                    RAKI
   301                    RASTLINE
   302                    RAZPRŠILCI
   303                    RAZSTRELILNE SNOVI
   304                    RECEPT
   305                    RELIGIOZNI PREDMETI
   306                    RENTGENSKI APARATI
   307                    REVIJA
   308                    RIBJE IKRE
   309                    RISBA
   310                    ROČNA BOMBA
   311                    ROČNO ORODJE
   312                    ROKAVICE
   313                    ROKOPIS
   314                    SADNA DREVESA
   315                    SAKRALNI PREDMETI
   316                    SAMOSTREL
   317                    SAMOVNETLJIVE SNOVI
   318                    SEKIRA
   319                    SERVER
   320                    SINTETIČNI STRUP
   321                    SLADKOVODNE ŽIVALI
   322                    SLIKA
   323                    SLIKARSKO DELO
   324                    SLUŽBENA IZKAZNICA
   325                    SMOLA KANABISA (HAŠIŠ)
   326                    SNEŽNI PLAZ
   327                    SNOVI KI RAZVIJAJO V STIKU Z VODO VNETLJIVE PLINE
   328                    SOLZILEC
   329                    SPECIALNA SREDSTVA ZA ODPIRANJE IN BRANJE
   330                    SPECIALNA SREDSTVA ZA ODPIRANJE PISEM
   331                    SPECIALNA SREDSTVA ZA PRISLUŠKOVANJE
   332                    SPECIALNO SREDSTVO ZA SLIKOVNO SNEMANJE
   333                    SPECIALNO VLOMILSKO ORODJE
   334                    SPIS
   335                    SRCE
   336                    SREDSTVA JAVNEGA OBVEŠČANJA
   337                    SREDSTVA ZA VEZANJE IN VKLEPANJE
   338                    STAVBNO POHIŠTVO
   339                    STISNJENI PLINI UTEKOČINJENI PLINI IN POD TLAKOM RAZTOPLJENI PLINI
   340                    STRELIVO
   341                    STRELNO OROŽJE
   342                    STROJI
   343                    STRUPENE SNOVI
   344                    STRUPI
   345                    SUROVINE
   346                    SVEČA
   347                    SVETLOBNA TELESA IN ZNAMENJA
   348                    ŠKOLJKE
   349                    ŠPORTNA OBLAČILA IN OBUTEV
   350                    ŠPORTNO OROŽJE
   351                    ŠTAMPILJKA
   352                    TAKSNA VREDNOTNICA (KOLEK)
   353                    TAXI
   354                    TEKSTILNI PROIZVODI
   355                    TELEFON
   356                    TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE
   357                    TELEVIZIJA
   358                    TELEVIZIJSKA ODDAJA
   359                    TISKARSKI STROJI IN OPREMA
   360                    TISKOVINE
   361                    TOBAČNI IZDELKI IN PROIZVODI
   362                    TOP
   363                    TOPLOVOD
   364                    TOVORNE PRIKOLICE
   365                    TOVORNO VOZILO
   366                    TRAKTOR
   367                    UMETNIŠKI PREDMETI
   368                    UMETNIŠKO DELO
   369                    UNIFORME
   370                    USNJENI IZDELKI
   371                    VERIGA
   372                    VETERINARSKA OPREMA IN PRIPOMOČKI
   373                    VIDEOKAMERA
   374                    VIDEOREKORDER
   375                    VILIČASTI KLJUČ
   376                    VIRMAN
   377                    VLAK
   378                    VLOMILSKA IGLA
   379                    VLOMILSKO ORODJE
   380                    VNETLJIVE SNOVI
   381                    VNETLJIVE TEKOČINE
   382                    VNETLJIVE TRDNE SNOVI
   383                    VODA
   384                    VODNE ŽIVALI
   385                    VODOINSTALACIJSKI MATERIAL
   386                    VODOVOD
   387                    VOJAŠKA IZKAZNICA
   388                    VOJAŠKA VOZILA
   389                    VOJAŠKO OROŽJE
   390                    VOLILNA SKRINJICA
   391                    VOLILNI IMENIK
   392                    VOLILNI LISTIČ
   393                    VOZILA
   394                    VOZILA IN PLOVILA
   395                    VOZNIŠKO DOVOLJENJE
   396                    VREDNOSTI PAPIRJI
   397                    VREDNOTNICE
   398                    VRV VRVICA
   399                    VŽIGALICE
   400                    VŽIGALNA SREDSTVA OGNJEMETNI PREDMETI IN DRUGI PREDMETI
   401                    VŽIGALNI IN GOREČI PREDMETI
   402                    VŽIGALNIK
   403                    ZALIVKA
   404                    ZANKA
   405                    ZAPISNIK
   406                    ZASEBNA LISTINA
   407                    ZASEBNA PISANJA
   408                    ZASTAVA OZN
   409                    ZASTAVA RDEČEGA KRIŽA
   410                    ZAVAROVALNA POLICA
   411                    ZDRAVILA
   412                    ZDRAVNIŠKA POTRDILA
   413                    ZDRAVSTVENA DOKUMENTACIJA
   414                    ZEMELJSKI PLAZ
   415                    ZEMLJA
